,Title,Release Year,Locations,Director,Actor 1
0,A Jitney Elopement,1915,20th and Folsom Streets,Charles Chaplin,Charles Chaplin
1,A Jitney Elopement,1915,Golden Gate Park,Charles Chaplin,Charles Chaplin
2,Greed,1924,Hayes Street at Laguna,Eric von Stroheim,Zasu Pitts
3,Greed,1924,Bush and Sutter Streets,Eric von Stroheim,Zasu Pitts
4,Greed,1924,Cliff House (1090 Point Lobos Avenue),Eric von Stroheim,Zasu Pitts
5,The Jazz Singer,1927,Coffee Dan's (O'Farrell Street at Powell),Alan Crosland,Al Jolson
6,San Francisco,1936,The Barbary Coast,W.S. Van Dyke,Clark Gable
7,San Francisco,1936,City Hall,W.S. Van Dyke,Clark Gable
8,After the Thin Man,1936,Coit Tower,W.S. Van Dyke,William Powell
9,Alexander's Ragtime Band,1938,Cliff House (1090 Point Lobos Avenue),Henry King,Tyrone Power
10,Alexander's Ragtime Band,1938,San Francisco Bay,Henry King,Tyrone Power
11,Alexander's Ragtime Band,1938,"Fairmont Hotel (950 Mason Street, Nob Hill)",Henry King,Tyrone Power
12,The Maltese Falcon,1941,Golden Gate Bridge,John Huston,Humphrey Bogart
13,The Maltese Falcon,1941,"Burritt Alley (Off Bush Street, between Powell and Stockton Streets)",John Huston,Humphrey Bogart
14,Shadow of the Thin Man,1941,Bay Bridge,W.S. Van Dyke,William Powell
15,The Maltese Falcon,1941,Ferry Building,John Huston,Humphrey Bogart
16,Gentleman Jim,1942,The Barbary Coast,Raoul Walsh,Errol Flynn
17,The Lady from Shanghai,1947,Golden Gate Park,Orson Welles,Rita Hayworth
18,The Lady from Shanghai,1947,Former Hall of Justice (750 Kearny Street at Washington),Orson Welles,Rita Hayworth
19,The Lady from Shanghai,1947,Mandarin Theatre (1021 Grant Avenue),Orson Welles,Rita Hayworth
20,The Lady from Shanghai,1947,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Orson Welles,Rita Hayworth
21,Dark Passage,1947,Golden Gate Bridge,Delmer Daves,Humphrey Bogart
22,Nora Prentiss,1947,Belgravia Apartments (795 Sutter Street at Jones),Vincent Sherman,Ann Sheridan
23,Dark Passage,1947,The Malloch Apartment Building (1360 Montgomery Street),Delmer Daves,Humphrey Bogart
24,Dark Passage,1947,"Filbert Steps, Filbert Street",Delmer Daves,Humphrey Bogart
25,I Remember Mama,1948,Grant Avenue (North Beach),George Stevens,Irene Dunne
26,I Remember Mama,1948,The Ferry Building,George Stevens,Irene Dunne
27,I Remember Mama,1948,"Fairmont Hotel (950 Mason Street, Nob Hill)",George Stevens,Irene Dunne
28,Woman on the Run,1950,772 Commercial Street at Kearney,Norman Foster,Ann Sheridan
29,D.O.A,1950,Powell & California Streets,Rudolph Mate,Edmond O'Brien
30,D.O.A,1950,Chambord Apartments (1298 Sacramento Street at Jones),Rudolph Mate,Edmond O'Brien
31,D.O.A,1950,Southern Pacific Memorial Hospital (1400 Fell Street),Rudolph Mate,Edmond O'Brien
32,Woman on the Run,1950,Cable Car Signal Box (California Street at Powell Street),Norman Foster,Ann Sheridan
33,Woman on the Run,1950,1801 Laguna at Bush,Norman Foster,Ann Sheridan
34,Woman on the Run,1950,Former Hall of Justice (750 Kearny Street at Washington),Norman Foster,Ann Sheridan
35,All About Eve,1950,Curran Theater (445 Geary Street),Joseph L. Mankiewicz,Bette Davis
36,D.O.A,1950,Westin St. Francis Hotel (335 Powell Street),Rudolph Mate,Edmond O'Brien
37,D.O.A,1950,The Embarcadero/ Ferry Building,Rudolph Mate,Edmond O'Brien
38,D.O.A,1950,Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle),Rudolph Mate,Edmond O'Brien
39,D.O.A,1950,Union Square,Rudolph Mate,Edmond O'Brien
40,Woman on the Run,1950,819 Mason Street at Pine,Norman Foster,Ann Sheridan
41,D.O.A,1950,Market & Steuart Streets (Financial District),Rudolph Mate,Edmond O'Brien
42,D.O.A,1950,Market Street (from 6th- 4th Streets),Rudolph Mate,Edmond O'Brien
43,Woman on the Run,1950,835-865 Market Street at 5th Street,Norman Foster,Ann Sheridan
44,The House on Telegraph Hill,1951,Market Street,Robert Wise,Richard Basehart
45,The House on Telegraph Hill,1951,1227 Montgomery Street,Robert Wise,Richard Basehart
46,The House on Telegraph Hill,1951,Coit Tower,Robert Wise,Richard Basehart
47,The House on Telegraph Hill,1951,Telegraph Hill,Robert Wise,Richard Basehart
48,Sudden Fear,1952,Brocklebank Apartments (1000 Mason Street),David Miller,Joan Crawford
49,Sudden Fear,1952,The Tamalpais Building (1201 Greenwich Street at Hyde),David Miller,Joan Crawford
50,Sudden Fear,1952,2800 Scott Street,David Miller,Joan Crawford
51,Sudden Fear,1952,Lombard Street,David Miller,Joan Crawford
52,The Caine Mutiny,1954,Golden Gate Bridge,Edward Dmytryk,Humphrey Bogart
53,The Caine Mutiny,1954,The Embarcadero,Edward Dmytryk,Humphrey Bogart
54,It Came From Beneath the Sea,1955,Hunters Point,Robert Gordon,Kenneth Tobey
55,It Came From Beneath the Sea,1955,Golden Gate Bridge,Robert Gordon,Kenneth Tobey
56,It Came From Beneath the Sea,1955,Chrissy Field,Robert Gordon,Kenneth Tobey
57,The Ten Commandments,1956,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Cecil B. DeMille,Charlton Heston
58,Pal Joey,1957,"Spreckels Mansion (2080 Washington Street, Pacific Heights)",George Sidney,Rita Hayworth
59,Pal Joey,1957,Coit Tower,George Sidney,Rita Hayworth
60,Pal Joey,1957,Barbary Coast,George Sidney,Rita Hayworth
61,Vertigo,1958,Claude Lane at Bush Street,Alfred Hitchcock,James Stewart
62,Vertigo,1958,"California Palace of the Legion of Honor (34th Avenue & Clement, Lincoln Park)",Alfred Hitchcock,James Stewart
63,Vertigo,1958,Palace of Fine Arts (3301 Lyon Street),Alfred Hitchcock,James Stewart
64,Vertigo,1958,York Hotel (940 Sutter Street),Alfred Hitchcock,James Stewart
65,The Lineup,1958,War Memorial Opera House (401 Van Ness Avenue),Don Siegel,Eli Wallach
66,Vertigo,1958,"Fairmont Hotel (950 Mason Street, Nob Hill)",Alfred Hitchcock,James Stewart
67,Vertigo,1958,Mission San Juan Bautista (2nd & Mariposa Streets),Alfred Hitchcock,James Stewart
68,Vertigo,1958,900 Lombard Street,Alfred Hitchcock,James Stewart
69,Vertigo,1958,San Francisco Drydock (20th and Illinois Streets),Alfred Hitchcock,James Stewart
70,Vertigo,1958,"Fort Point (Presidio, Golden Gate National Recreation Area)",Alfred Hitchcock,James Stewart
71,The Lineup,1958,Pier 41,Don Siegel,Eli Wallach
72,Vertigo,1958,Ernie's Restaurant (847 Montgomery Street),Alfred Hitchcock,James Stewart
73,Vertigo,1958,Gough & Eddy Streets (Western Addition),Alfred Hitchcock,James Stewart
74,Vertigo,1958,1007 Gough Street,Alfred Hitchcock,James Stewart
75,The Lineup,1958,2090 Jackson Street,Don Siegel,Eli Wallach
76,Vertigo,1958,"Mission Dolores (3321 16th Street, Mission District)",Alfred Hitchcock,James Stewart
77,Vertigo,1958,Brocklebank Apartments (1000 Mason Street),Alfred Hitchcock,James Stewart
78,The Lineup,1958,The Embarcadero,Don Siegel,Eli Wallach
79,The Lineup,1958,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)",Don Siegel,Eli Wallach
80,The Lineup,1958,Sutro Baths (Point Lobos Avenue),Don Siegel,Eli Wallach
81,Vertigo,1958,Conservatory of Flowers (Golden Gate Park),Alfred Hitchcock,James Stewart
82,The Lineup,1958,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Don Siegel,Eli Wallach
83,Vertigo,1958,Park Hill Sanatorium (351 Buena Vista Avenue East),Alfred Hitchcock,James Stewart
84,Midnight Lace,1960,"Fairmont Hotel (950 Mason Street, Nob Hill)",David Miller,Doris Day
85,Susan Slade,1961,"On Board the SS President Cleveland, docked at Pier 50",Delmer Daves,Troy Donahue
86,Pleasure of His Company,1961,Grace Cathedral Episcopal Church (1100 California Street),George Seaton,Fred Astaire
87,Swingin' Along,1961,Powell Street,Charles Barton,Tommy Noonan
88,Pleasure of His Company,1961,2700 Vallejo Street (Pacific Heights),George Seaton,Fred Astaire
89,Flower Drum Song,1961,Chinatown,Henry Koster,Nancy Kwan
90,Flower Drum Song,1961,Golden Gate Bridge,Henry Koster,Nancy Kwan
91,Experiment in Terror,1962,2632 Larkin Street at Lombard,Blake Edwards,Glenn Ford
92,Experiment in Terror,1962,George Washington High School (600 32nd Avenue ),Blake Edwards,Glenn Ford
93,Experiment in Terror,1962,"Wells Fargo Bank (1 California Street, Financial District)",Blake Edwards,Glenn Ford
94,Birdman of Alcatraz,1962,Alcatraz Island,John Frankenheimer,Burt Lancaster
95,Experiment in Terror,1962,The Sea Captain's Chest (Fisherman's Wharf),Blake Edwards,Glenn Ford
96,Experiment in Terror,1962,100 St. Germain Avenue,Blake Edwards,Glenn Ford
97,Experiment in Terror,1962,Candlestick Park,Blake Edwards,Glenn Ford
98,Experiment in Terror,1962,"Sheraton Palace Hotel (2 Montgomery Street, Financial District)",Blake Edwards,Glenn Ford
99,Experiment in Terror,1962,Roaring Twenties Nightclub (555 Broadway at Columbus),Blake Edwards,Glenn Ford
100,Experiment in Terror,1962,1 Montgomery Street at Post,Blake Edwards,Glenn Ford
101,Birdman of Alcatraz,1962,Pier 43 1/2,John Frankenheimer,Burt Lancaster
102,The Birds,1963,Powell and Geary Streets (Union Square),Alfred Hitchcock,Tippi Hedren
103,Marnie,1964,"On Board the SS President Cleveland, docked at Pier 50",Alfred Hitchcock,Tippi Hedren
104,Good NeighborSam,1964,Various locations in San Francisco during driving scene,David Swift,Jack Lemmon
105,The Graduate,1967,San Francisco Zoo (2701 Sloat Blvd.),Mike Nichols,Anne Bancroft
106,The Graduate,1967,Bay Bridge,Mike Nichols,Anne Bancroft
107,Guess Who's Coming to Dinner,1967,Sutter Street between Powell and Mason,Stanley Kramer,Spencer Tracy
108,Guess Who's Coming to Dinner,1967,634 Raycliff Terrace,Stanley Kramer,Spencer Tracy
109,Point Blank,1967,"Fort Point (Presidio, Golden Gate National Recreation Area)",John Boorman,Lee Marvin
110,Guess Who's Coming to Dinner,1967,Mel's Drive-In (Corner South Van Ness & Mission St.),Stanley Kramer,Spencer Tracy
111,Point Blank,1967,Alcatraz Island,John Boorman,Lee Marvin
112,Guess Who's Coming to Dinner,1967,San Francisco International Airport,Stanley Kramer,Spencer Tracy
113,Petulia,1968,"Fort Point (Presidio, Golden Gate National Recreation Area)",Richard Lester,Julie Christie
114,Petulia,1968,"Fairmont Hotel (950 Mason Street, Nob Hill)",Richard Lester,Julie Christie
115,Bullitt,1968,1153-57 Taylor Street,Peter Yates,Steve McQueen
116,Bullitt,1968,Larkin & Francisco Streets (Russian Hill),Peter Yates,Steve McQueen
117,Bullitt,1968,Taylor & Vallejo Streets (Russian Hill),Peter Yates,Steve McQueen
118,Bullitt,1968,Marina Green (Marina District),Peter Yates,Steve McQueen
119,Bullitt,1968,2700 Vallejo Street (Pacific Heights),Peter Yates,Steve McQueen
120,The Love Bug,1968,Golden Gate Bridge,Robert Stevenson,Dean Jones
121,Petulia,1968,2417 Franklin Street,Richard Lester,Julie Christie
122,Bullitt,1968,McLaren Park (Visitacion  Valley),Peter Yates,Steve McQueen
123,Petulia,1968,Cala Foods (California Street and Hyde),Richard Lester,Julie Christie
124,Bullitt,1968,Mark Hopkins Hotel (999 California Street),Peter Yates,Steve McQueen
125,Bullitt,1968,Kennedy Hotel (226 Embarcadero at Howard Street),Peter Yates,Steve McQueen
126,Bullitt,1968,Brocklebank Apartments (1000 Mason Street),Peter Yates,Steve McQueen
127,Petulia,1968,307 Filbert Street,Richard Lester,Julie Christie
128,Bullitt,1968,Cesar Chavez & Mission Street (Mission),Peter Yates,Steve McQueen
129,Petulia,1968,Pier 43 1/2,Richard Lester,Julie Christie
130,Bullitt,1968,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)",Peter Yates,Steve McQueen
131,Bullitt,1968,20th & Vermont Streets (Potrero Hill),Peter Yates,Steve McQueen
132,Bullitt,1968,Columbus & Lombard Streets (North Beach),Peter Yates,Steve McQueen
133,Bullitt,1968,"Candlestick Park Exit, Highway 101",Peter Yates,Steve McQueen
134,Bullitt,1968,Filbert & Taylor Streets (Russian Hill),Peter Yates,Steve McQueen
135,The Love Bug,1968,100 Block of Lombard Street,Robert Stevenson,Dean Jones
136,Bullitt,1968,Bayshore Blvd near Cesar Chavez (Bayview),Peter Yates,Steve McQueen
137,Petulia,1968,"Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park",Richard Lester,Julie Christie
138,Bullitt,1968,Larkin & Chestnut Streets (Russian Hill),Peter Yates,Steve McQueen
139,Bullitt,1968,Enrico's Café (504 Broadway),Peter Yates,Steve McQueen
140,Bullitt,1968,Mansell & University Streets (Visitacion  Valley),Peter Yates,Steve McQueen
141,Bullitt,1968,John Muir Drive (Lake Merced),Peter Yates,Steve McQueen
142,Bullitt,1968,Bay Bridge,Peter Yates,Steve McQueen
143,Bullitt,1968,Café Cantata (2040 Union Street),Peter Yates,Steve McQueen
144,Bullitt,1968,Intersection of York & Peralta (Bernal Heights),Peter Yates,Steve McQueen
145,Take the Money and Run,1969,Mission Street,Woody Allen,Woody Allen
146,Take the Money and Run,1969,Golden Gate Park,Woody Allen,Woody Allen
147,Take the Money and Run,1969,Bank of America (1455 Stockton Street),Woody Allen,Woody Allen
148,Harold and Maude,1971,Sutro Baths (Point Lobos Avenue),Hal Ashby,Ruth Gordon
149,Dirty Harry,1971,Hall of Justice (850 Bryant Street),Don Siegel,Clint Eastwood
150,Dirty Harry,1971,The Embarcadero,Don Siegel,Clint Eastwood
151,Dirty Harry,1971,"Kezar Stadium, Golden Gate Park",Don Siegel,Clint Eastwood
152,Dirty Harry,1971,Portsmouth Square (Chinatown),Don Siegel,Clint Eastwood
153,Dirty Harry,1971,Forest Hill Station- MUNI,Don Siegel,Clint Eastwood
154,Dirty Harry,1971,Holiday Inn Select Downtown Hotel (750 Kearney Street),Don Siegel,Clint Eastwood
155,Dirty Harry,1971,"Mt. Davidson Cross, Mt. Davidson",Don Siegel,Clint Eastwood
156,Dirty Harry,1971,Dante Building (1606 Stockton Street at Union),Don Siegel,Clint Eastwood
157,Dirty Harry,1971,"Washington Square, North Beach",Don Siegel,Clint Eastwood
158,Dirty Harry,1971,Bank of America Building (555 California Street),Don Siegel,Clint Eastwood
159,Dirty Harry,1971,San Francisco Drydock (20th and Illinois Streets),Don Siegel,Clint Eastwood
160,Harold and Maude,1971,Golden Gate Park,Hal Ashby,Ruth Gordon
161,Dirty Harry,1971,Mission Dolores Park (Mission District),Don Siegel,Clint Eastwood
162,Dirty Harry,1971,"California Hall (625 Polk Street, Van Ness/Civic Center)",Don Siegel,Clint Eastwood
163,Dirty Harry,1971,"Marina Green, Marina District",Don Siegel,Clint Eastwood
164,Harold and Maude,1971,Conservatory of Flowers (Golden Gate Park),Hal Ashby,Ruth Gordon
165,Dirty Harry,1971,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Don Siegel,Clint Eastwood
166,The Candidate,1972,"Westin St. Francis Hotel (335 Powell Street, Union Square)",Michael Ritchie,Robert Redford
167,"Play it Again, Sam",1972,Surf Theater (4520 Irving Street),Herbert Ross,Woody Allen
168,What's Up Doc?,1972,Lombard Street between Hyde and Leavenworth,Peter Bogdanovich,Barbra Streisand
169,"Play it Again, Sam",1972,Balboa at 22nd Avenue,Herbert Ross,Woody Allen
170,What's Up Doc?,1972,San Francisco Hilton (333 O'Farrell Street),Peter Bogdanovich,Barbra Streisand
171,"Play it Again, Sam",1972,Aquatic Park (Jefferson Street),Herbert Ross,Woody Allen
172,What's Up Doc?,1972,Chinatown,Peter Bogdanovich,Barbra Streisand
173,"Play it Again, Sam",1972,Hyde Street Cable Car,Herbert Ross,Woody Allen
174,What's Up Doc?,1972,Alta Plaza Park (Steiner Street),Peter Bogdanovich,Barbra Streisand
175,What's Up Doc?,1972,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Peter Bogdanovich,Barbra Streisand
176,What's Up Doc?,1972,22nd Avenue & Balboa Street (Richmond District),Peter Bogdanovich,Barbra Streisand
177,"Play it Again, Sam",1972,"The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)",Herbert Ross,Woody Allen
178,What's Up Doc?,1972,Hyde Street Pier,Peter Bogdanovich,Barbra Streisand
179,"Play it Again, Sam",1972,15-17 Fresno Street,Herbert Ross,Woody Allen
180,Magnum Force,1973,Broadway Tunnel (Russian Hill),Ted Post,Clint Eastwood
181,American Graffiti,1973,3355 Geary Blvd.,George Lucas,Richard Dreyfuss
182,Magnum Force,1973,"Pacific Heights Towers (2200 Sacramento Street, Pacific Heights)",Ted Post,Clint Eastwood
183,Magnum Force,1973,"Fairmont Hotel (950 Mason Street, Nob Hill)",Ted Post,Clint Eastwood
184,Magnum Force,1973,San Francisco International Airport,Ted Post,Clint Eastwood
185,Magnum Force,1973,City Hall,Ted Post,Clint Eastwood
186,American Graffiti,1973,"Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District)",George Lucas,Richard Dreyfuss
187,Magnum Force,1973,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)",Ted Post,Clint Eastwood
188,Magnum Force,1973,Embarcadero Freeway,Ted Post,Clint Eastwood
189,Magnum Force,1973,Vermont Street between 20th and 22nd Streets,Ted Post,Clint Eastwood
190,Magnum Force,1973,San Francisco Drydock (20th and Illinois Streets),Ted Post,Clint Eastwood
191,Magnum Force,1973,2190 Washington Street (Pacific Heights),Ted Post,Clint Eastwood
192,Magnum Force,1973,280 Freeway at Pennsylvania and Mariposa Streets,Ted Post,Clint Eastwood
193,Magnum Force,1973,18th Street Overpass (Potrero Hill),Ted Post,Clint Eastwood
194,Magnum Force,1973,Cost Plus World Market (2552 Taylor Street),Ted Post,Clint Eastwood
195,Magnum Force,1973,Hall of Justice (850 Bryant Street),Ted Post,Clint Eastwood
196,Magnum Force,1973,Golden Gate Bridge,Ted Post,Clint Eastwood
197,The Towering Inferno,1974,"San Francisco Fire Station 38 (2150 California Street, Pacific Heights)",John Guillermin,Steve McQueen
198,Freebie and the Bean,1974,Twin Peaks,Richard Rush,Alan Arkin
199,The Towering Inferno,1974,"Hyatt Regency Hotel (5 Embarcadero Center, Financial District)",John Guillermin,Steve McQueen
200,The Conversation,1974,"Westin St. Francis Hotel (335 Powell Street, Union Square)",Francis Ford Coppola,Gene Hackman
201,The Conversation,1974,Alta Plaza Park (Steiner Street),Francis Ford Coppola,Gene Hackman
202,The Towering Inferno,1974,"Bank of America Building (555 California Street, Financial District)",John Guillermin,Steve McQueen
203,The Conversation,1974,Union Square,Francis Ford Coppola,Gene Hackman
204,Herbie Rides Again,1974,Castagnola's Restaurant (Fisherman's Wharf),Robert Stevenson,Helen Hayes
205,The Conversation,1974,One Embarcadero Center (Financial District),Francis Ford Coppola,Gene Hackman
206,Freebie and the Bean,1974,Candlestick Park (602 Jamestown Ave.),Richard Rush,Alan Arkin
207,The Conversation,1974,"Neiman Marcus (150 Stockton Street, Union Square)",Francis Ford Coppola,Gene Hackman
208,The Conversation,1974,Alcoa Building (1 Maritime Plaza),Francis Ford Coppola,Gene Hackman
209,The Conversation,1974,Financial District,Francis Ford Coppola,Gene Hackman
210,The Conversation,1974,"Saks Fifth Avenue (384 Post Street, Union Square)",Francis Ford Coppola,Gene Hackman
211,The Conversation,1974,Alamo Square (Hayes Valley),Francis Ford Coppola,Gene Hackman
212,Freebie and the Bean,1974,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Richard Rush,Alan Arkin
213,Freebie and the Bean,1974,"Fairmont Hotel (950 Mason Street, Nob Hill)",Richard Rush,Alan Arkin
214,Freebie and the Bean,1974,Nob Hill,Richard Rush,Alan Arkin
215,Freebie and the Bean,1974,Alco Plaza,Richard Rush,Alan Arkin
216,Freebie and the Bean,1974,TransAmerica Pyramid (600 Montgomery Street),Richard Rush,Alan Arkin
217,The Towering Inferno,1974,"Fairmont Hotel (950 Mason Street, Nob Hill)",John Guillermin,Steve McQueen
218,The Towering Inferno,1974,Grace Cathedral Episcopal Church (1100 California Street),John Guillermin,Steve McQueen
219,Freebie and the Bean,1974,Folsom Street (SOMA),Richard Rush,Alan Arkin
220,Freebie and the Bean,1974,Embarcadero Freeway,Richard Rush,Alan Arkin
221,Herbie Rides Again,1974,Sheraton Palace Hotel (639 Market Street),Robert Stevenson,Helen Hayes
222,The Conversation,1974,"Cathedral Hill Hotel (1101 Van Ness Avenue, Civic Center)",Francis Ford Coppola,Gene Hackman
223,The Towering Inferno,1974,2898 Vallejo Street,John Guillermin,Steve McQueen
224,The Towering Inferno,1974,Firestation #38 (California & Laguna),John Guillermin,Steve McQueen
225,Freebie and the Bean,1974,Stockton Tunnel (Stockton Street at Sutter Street),Richard Rush,Alan Arkin
226,Freebie and the Bean,1974,Potrero Hill,Richard Rush,Alan Arkin
227,Freebie and the Bean,1974,Broadway and Columbus Avenue (North Beach),Richard Rush,Alan Arkin
228,The Conversation,1974,"American Roofing Co. Building (297 Kansas Street, Potrero Hill)",Francis Ford Coppola,Gene Hackman
229,Herbie Rides Again,1974,Golden Gate Bridge,Robert Stevenson,Helen Hayes
230,Freebie and the Bean,1974,Hyatt Regency Hotel (5 Embarcadero Center),Richard Rush,Alan Arkin
231,Family Plot,1976,"Fairmont Hotel (950 Mason Street, Nob Hill)",Alfred Hitchcock,Karen Black
232,The Enforcer,1976,23rd & Capp Streets (Mission District),James Fargo,Clint Eastwood
233,The Enforcer,1976,Alcatraz Island,James Fargo,Clint Eastwood
234,The Enforcer,1976,Balmy Street (Mission District),James Fargo,Clint Eastwood
235,The Enforcer,1976,Coit Tower,James Fargo,Clint Eastwood
236,The Enforcer,1976,Sutter & Webster Streets,James Fargo,Clint Eastwood
237,The Enforcer,1976,Hall of Justice,James Fargo,Clint Eastwood
238,The Enforcer,1976,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)",James Fargo,Clint Eastwood
239,Family Plot,1976,2230 Sacramento Street,Alfred Hitchcock,Karen Black
240,The Enforcer,1976,City Hall,James Fargo,Clint Eastwood
241,Family Plot,1976,Grace Cathedral Episcopal Church (1100 California Street),Alfred Hitchcock,Karen Black
242,The Enforcer,1976,24th Street Mini Park (Mission District),James Fargo,Clint Eastwood
243,Family Plot,1976,Nob Hill,Alfred Hitchcock,Karen Black
244,High Anxiety,1977,Hyatt Regency Hotel (5 Embarcadero Center),Mel Brooks,Mel Brooks
245,High Anxiety,1977,"Conservatory of Flowers, Golden Gate Park",Mel Brooks,Mel Brooks
246,High Anxiety,1977,"Fort Point (Presidio, Golden Gate National Recreation Area)",Mel Brooks,Mel Brooks
247,Foul Play,1978,24th and Castro Streets (Noe Valley),Colin Higgins,Goldie Hawn
248,Invasion of the Body Snatchers,1978,Chinatown,Philip Kaufman,Donald Sutherland
249,Invasion of the Body Snatchers,1978,San Francisco Drydock (20th and Illinois Streets),Philip Kaufman,Donald Sutherland
250,Foul Play,1978,Sutter & Baker Streets,Colin Higgins,Goldie Hawn
251,Foul Play,1978,Sutter & Buchannan Streets,Colin Higgins,Goldie Hawn
252,Attack of the Killer Tomatoes,1978,Hyde Street Cable Car,John DeBello,David Miller
253,Invasion of the Body Snatchers,1978,City Hall,Philip Kaufman,Donald Sutherland
254,Foul Play,1978,War Memorial Opera House (401 Van Ness Avenue),Colin Higgins,Goldie Hawn
255,Foul Play,1978,Sacramento & Hyde Streets (Nob Hill),Colin Higgins,Goldie Hawn
256,Foul Play,1978,Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street),Colin Higgins,Goldie Hawn
257,Foul Play,1978,City Hall,Colin Higgins,Goldie Hawn
258,Foul Play,1978,Andrew S. Hallidie Plaza (Market & Powell Streets),Colin Higgins,Goldie Hawn
259,Foul Play,1978,"Asian Art Museum (200 Larkin Street, Civic Center)",Colin Higgins,Goldie Hawn
260,Foul Play,1978,"Postcard Row (Alamo Square, Hayes Valley)",Colin Higgins,Goldie Hawn
261,Superman,1978,Golden Gate Bridge,Richard Donner,Christopher Reeve
262,Invasion of the Body Snatchers,1978,1227 Montgomery Street (Telegraph Hill),Philip Kaufman,Donald Sutherland
263,Invasion of the Body Snatchers,1978,Lafayette Park (Pacific Heights),Philip Kaufman,Donald Sutherland
264,Foul Play,1978,Fort Mason (Golden Gate National Recreation Area),Colin Higgins,Goldie Hawn
265,Foul Play,1978,"Hayes Valley Care (601 Laguna Street, Hayes Valley)",Colin Higgins,Goldie Hawn
266,Foul Play,1978,430 Vallejo Street (Telegraph Hill),Colin Higgins,Goldie Hawn
267,Invasion of the Body Snatchers,1978,"Bimbo's 365 Club (1025 Columbus Avenue, North Beach)",Philip Kaufman,Donald Sutherland
268,Invasion of the Body Snatchers,1978,Pier 33 (Embarcadero),Philip Kaufman,Donald Sutherland
269,Foul Play,1978,California & Larkin Streets (Nob Hill),Colin Higgins,Goldie Hawn
270,Foul Play,1978,Golden Gate & Steiner Streets (Hayes Valley),Colin Higgins,Goldie Hawn
271,Foul Play,1978,Laguna & Sacramento Streets (Pacific Heights),Colin Higgins,Goldie Hawn
272,Invasion of the Body Snatchers,1978,Hamlin Hotel (385 Eddy Street),Philip Kaufman,Donald Sutherland
273,Foul Play,1978,"Fort Point, Presidio",Colin Higgins,Goldie Hawn
274,Foul Play,1978,Potrero Hill Bathhouse & Feed Co. (199 Mississippi Street),Colin Higgins,Goldie Hawn
275,A Night Full of Rain,1978,"Fairmont Hotel (950 Mason Street, Nob Hill)",Lina Wertmuller,Candice Bergen
276,Invasion of the Body Snatchers,1978,"Ramada Plaza Hotel Downtown (1231 Market Street, Civic Center)",Philip Kaufman,Donald Sutherland
277,Foul Play,1978,Montgomery & Pine Streets (Financial District),Colin Higgins,Goldie Hawn
278,Invasion of the Body Snatchers,1978,"Department of Public Health (101 Grove Street at Polk, Civic Center)",Philip Kaufman,Donald Sutherland
279,Foul Play,1978,Octavia & Hayes Streets (Hayes Valley),Colin Higgins,Goldie Hawn
280,Invasion of the Body Snatchers,1978,Broadway Tunnel (Russian Hill),Philip Kaufman,Donald Sutherland
281,A Night Full of Rain,1978,Embarcadero Freeway,Lina Wertmuller,Candice Bergen
282,A Night Full of Rain,1978,Broadway (North Beach),Lina Wertmuller,Candice Bergen
283,Invasion of the Body Snatchers,1978,32 Napier Lane,Philip Kaufman,Donald Sutherland
284,Invasion of the Body Snatchers,1978,Transamerica Building (600 Montgomery Street at Clay),Philip Kaufman,Donald Sutherland
285,Invasion of the Body Snatchers,1978,720 Steiner Street (Hayes Valley),Philip Kaufman,Donald Sutherland
286,Invasion of the Body Snatchers,1978,United Nations Plaza (Civic Center),Philip Kaufman,Donald Sutherland
287,Foul Play,1978,"Fiesta Laundromat (898 S. Van Ness Ave., Mission)",Colin Higgins,Goldie Hawn
288,Invasion of the Body Snatchers,1978,"Postcard Row (Alamo Square, Hayes Valley)",Philip Kaufman,Donald Sutherland
289,A Night Full of Rain,1978,San Francisco Chronicle (901 Mission Street at 15th Street),Lina Wertmuller,Candice Bergen
290,Foul Play,1978,Flood Building (870 Market Street),Colin Higgins,Goldie Hawn
291,Time After Time,1979,California Academy of Sciences (Golden Gate Park),Nicholas Meyer,Malcolm McDowell
292,Time After Time,1979,Merchant Exchange (465 California Street at Leidesdorff),Nicholas Meyer,Malcolm McDowell
293,Time After Time,1979,One Embarcadero Center (Financial District),Nicholas Meyer,Malcolm McDowell
294,Time After Time,1979,Intersection of Fulton & 6th Streets (Chinatown),Nicholas Meyer,Malcolm McDowell
295,Time After Time,1979,Golden Gate Bridge,Nicholas Meyer,Malcolm McDowell
